"faculty_id","degree","outward_count","inward_count","total_conections","group","color"
1,15,6,9,15,3,"#7570B3"
2,36,17,19,36,1,"#1B9E77"
3,8,4,4,8,3,"#7570B3"
4,18,10,8,18,3,"#7570B3"
5,38,28,10,38,2,"#D95F02"
6,17,9,8,17,2,"#D95F02"
7,35,17,18,35,2,"#D95F02"
8,8,2,6,8,1,"#1B9E77"
9,13,8,5,13,3,"#7570B3"
10,35,16,19,35,2,"#D95F02"
11,2,0,2,2,1,"#1B9E77"
12,19,6,13,19,2,"#D95F02"
13,26,13,13,26,2,"#D95F02"
14,12,5,7,12,1,"#1B9E77"
15,29,22,7,29,1,"#1B9E77"
16,19,6,13,19,2,"#D95F02"
17,14,8,6,14,3,"#7570B3"
18,22,3,19,22,1,"#1B9E77"
19,24,11,13,24,1,"#1B9E77"
20,21,14,7,21,1,"#1B9E77"
21,38,16,22,38,1,"#1B9E77"
22,20,12,8,20,2,"#D95F02"
23,22,7,15,22,2,"#D95F02"
24,9,3,6,9,1,"#1B9E77"
25,13,4,9,13,1,"#1B9E77"
26,20,13,7,20,1,"#1B9E77"
27,37,21,16,37,2,"#D95F02"
28,12,6,6,12,2,"#D95F02"
29,62,41,21,62,1,"#1B9E77"
30,10,6,4,10,2,"#D95F02"
31,35,16,19,35,1,"#1B9E77"
32,10,1,9,10,1,"#1B9E77"
33,27,15,12,27,2,"#D95F02"
34,17,12,5,17,1,"#1B9E77"
35,28,13,15,28,1,"#1B9E77"
36,10,5,5,10,3,"#7570B3"
37,54,36,18,54,1,"#1B9E77"
38,21,13,8,21,3,"#7570B3"
39,20,10,10,20,1,"#1B9E77"
40,19,12,7,19,2,"#D95F02"
41,12,3,9,12,1,"#1B9E77"
42,29,12,17,29,2,"#D95F02"
43,33,23,10,33,1,"#1B9E77"
44,6,5,1,6,3,"#7570B3"
45,12,3,9,12,3,"#7570B3"
46,30,15,15,30,1,"#1B9E77"
47,12,4,8,12,2,"#D95F02"
48,14,8,6,14,1,"#1B9E77"
49,26,11,15,26,2,"#D95F02"
50,20,8,12,20,4,"#E7298A"
51,24,12,12,24,1,"#1B9E77"
52,39,27,12,39,1,"#1B9E77"
53,10,1,9,10,3,"#7570B3"
54,26,3,23,26,1,"#1B9E77"
55,11,5,6,11,1,"#1B9E77"
56,10,4,6,10,1,"#1B9E77"
57,24,13,11,24,1,"#1B9E77"
58,25,11,14,25,1,"#1B9E77"
59,11,2,9,11,3,"#7570B3"
60,5,1,4,5,3,"#7570B3"
61,16,6,10,16,3,"#7570B3"
62,43,34,9,43,3,"#7570B3"
63,9,3,6,9,2,"#D95F02"
64,13,6,7,13,1,"#1B9E77"
65,10,2,8,10,2,"#D95F02"
66,8,3,5,8,2,"#D95F02"
67,6,2,4,6,2,"#D95F02"
68,27,17,10,27,2,"#D95F02"
69,37,13,24,37,2,"#D95F02"
70,18,10,8,18,4,"#E7298A"
71,13,7,6,13,2,"#D95F02"
72,19,10,9,19,2,"#D95F02"
73,4,2,2,4,3,"#7570B3"
74,13,7,6,13,3,"#7570B3"
75,14,7,7,14,3,"#7570B3"
76,13,4,9,13,2,"#D95F02"
77,44,20,24,44,2,"#D95F02"
78,6,4,2,6,3,"#7570B3"
79,22,10,12,22,1,"#1B9E77"
80,15,6,9,15,1,"#1B9E77"
81,10,6,4,10,3,"#7570B3"
