"name","male","culture","house","popularity","house2","color","shape","degree","degree_std","closeness","closeness_std","betweenness","betweenness_std","transitivity","page_rank","eigenvector.x","eigen_centrality","eigenvector.y"
"Cassana Baratheon",0,NA,"House Baratheon",0,"House Baratheon","#E41A1C","circle",4,0.444444444444444,0.0714285714285714,0.00793650793650794,7,0.194444444444444,0.5,0.151213903795543,-0.436435780471985,0.928877440448782,-0.436435780471985
"Joffrey Baratheon",1,NA,"House Baratheon",1,"House Baratheon","#E41A1C","square",1,0.111111111111111,0.0454545454545455,0.00505050505050505,0,0,NA,0.0503775487452868,-0.109108945117996,0.248012198003392,-0.109108945117996
"Myrcella Baratheon",0,NA,"House Baratheon",0.561872909698996,"House Baratheon","#E41A1C","circle",1,0.111111111111111,0.0454545454545455,0.00505050505050505,0,0,NA,0.0503775487452868,-0.109108945117996,0.248012198003392,-0.109108945117996
"Ormund Baratheon",1,NA,"House Baratheon",0,"House Baratheon","#E41A1C","square",1,0.111111111111111,0.0476190476190476,0.00529100529100529,0,0,NA,0.0475075240564176,-0.109108945117996,0.304609907667479,-0.109108945117996
"Renly Baratheon",1,"Stormlands","House Baratheon",1,"House Baratheon","#E41A1C","square",2,0.222222222222222,0.05,0.00555555555555556,0,0,1,0.0796404786129705,-0.218217890235993,0.587555179036986,-0.218217890235993
"Robert Baratheon",1,NA,"House Baratheon",0,"House Baratheon","#E41A1C","square",5,0.555555555555556,0.0714285714285714,0.00793650793650794,21,0.583333333333333,0.1,0.208103227913452,-0.545544725589981,0.814196097239651,-0.545544725589981
"Shireen Baratheon",0,NA,"House Baratheon",0.23076923076923,"House Baratheon","#E41A1C","circle",1,0.111111111111111,0.0384615384615385,0.00427350427350427,0,0,NA,0.049481627583326,-0.109108945117996,0.197280205941905,-0.109108945117996
"Stannis Baratheon",1,NA,"House Baratheon",1,"House Baratheon","#E41A1C","square",3,0.333333333333333,0.0555555555555556,0.00617283950617284,8,0.222222222222222,0.333333333333333,0.121699862058798,-0.327326835353989,0.647648684353571,-0.327326835353989
"Steffon Baratheon",1,NA,"House Baratheon",0.371237458193979,"House Baratheon","#E41A1C","square",5,0.555555555555556,0.0769230769230769,0.00854700854700855,15,0.416666666666667,0.3,0.191220729743633,-0.545544725589981,1,-0.545544725589981
"Tommen Baratheon",1,NA,"House Baratheon",1,"House Baratheon","#E41A1C","square",1,0.111111111111111,0.0454545454545455,0.00505050505050505,0,0,NA,0.0503775487452868,-0.109108945117996,0.248012198003392,-0.109108945117996
